,time,25,28,34,46,50,55,56,57,67,68,74,75,86,94,95,101,102,121,126,135,136,137,141,147,148,154,155,168,174,175
0,1,25,17,0,0,0,0,0,0,0,36,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2,18,21,0,0,0,0,0,0,0,37,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,3,20,21,0,0,0,0,0,0,0,21,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,4,25,18,0,0,1,0,0,17,0,12,0,4,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,5,34,13,1,0,0,0,0,27,0,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,6,29,16,0,0,0,0,0,32,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,7,20,20,0,16,0,5,0,19,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,8,32,14,0,28,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8,9,23,19,0,24,1,4,6,0,0,1,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,10,29,16,1,0,0,0,22,12,0,0,7,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
10,11,17,22,0,0,0,0,0,22,9,0,0,6,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
11,12,30,15,0,0,0,0,0,0,26,11,0,0,0,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,13,28,16,0,0,0,0,0,0,0,33,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13,14,23,19,0,0,1,0,0,0,0,25,0,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,15,19,21,1,0,0,0,0,0,0,30,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15,16,19,21,0,0,0,0,0,0,0,36,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,17,27,17,0,0,0,0,0,0,0,32,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17,18,12,24,0,0,0,0,23,0,0,10,7,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,19,20,21,0,0,1,0,31,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
19,20,18,23,1,0,0,0,12,0,0,23,4,0,0,0,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
20,21,27,16,0,0,0,0,0,0,0,36,0,0,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
21,22,4,11,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
